-102,-114
-95,-99
-86,-89
-70,-83
-50,-85
-39,-98
-35,-115
-35,-134
-42,-148
-51,-157
-61,-161
-77,-163
-96,-164
-125,-165
-149,-165
-170,-165
-191,-165
-208,-161
-231,-149
-248,-137
-260,-129
-267,-121
-268,-121
-287,-112
-299,-106
-314,-101
-332,-87
-343,-70
-355,-44
-360,-22
-364,-12
-364,-2
-364,10
-364,22
-363,23
-355,31
-334,27
-333,26
-309,17
-308,17
-307,16
-294,13
-293,12
-271,8
-270,8
-242,3
-208,-10
-189,-20
-182,-33
-172,-66
-170,-87
-171,-112
-176,-126
-180,-140
-188,-137
-195,-122
-199,-96
-199,-71
-192,-45
-188,-23
-189,-8
-196,6
-196,7
-209,28
-216,43
-222,58
-227,72
-225,93
-224,113
-223,135
-215,161
-215,159
-207,177
-197,186
-185,194
-159,198
-133,205
-112,205
-95,206
-94,206
-72,206
-71,206
-56,204
-55,204
-36,193
-35,179
-34,178
-34,177
-29,136
-31,105
-38,88
-39,88
-40,87
-56,73
-58,73
-58,70
-59,70
-59,69
-73,64
-74,64
-93,64
-94,64
-111,69
-111,70
-121,84
-121,106
-113,124
-105,140
-104,140
-103,140
-83,136
-84,122
-84,121
-84,120
-87,101
-71,104
-58,126
-58,144
-59,144
-72,159
-84,163
-109,166
-129,164
-130,163
-131,163
-145,152
-145,151
-154,131
-157,109
-162,90
-157,61
-149,51
-141,41
-116,32
-93,29
-70,35
-44,43
-16,47
14,43
36,37
49,36
72,31
98,33
124,37
135,43
142,48
149,59
146,77
147,102
149,122
148,122
138,146
138,147
125,162
98,166
82,163
64,155
64,154
55,142
54,142
53,141
50,117
51,115
59,98
60,98
61,98
62,98
76,98
80,116
76,124
76,125
77,126
97,130
98,130
114,113
111,88
110,87
99,65
74,63
56,65
34,80
17,96
6,116
-1,133
-2,134
-2,135
-2,159
2,176
18,204
34,212
51,216
77,213
103,211
123,213
140,217
141,217
167,216
169,216
206,206
206,205
225,186
231,156
229,127
218,88
161,-44
184,-23
185,-45
192,-82
184,-116
175,-129
174,-129
173,-129
173,-128
164,-109
164,-108
164,-107
164,-106
160,-82
160,-81
160,-52
165,-30
166,-29
174,-18
191,-10
192,-9
210,-2
242,4
266,7
286,12
308,20
356,27
366,35
367,35
369,1
369,0
369,-1
363,-44
347,-72
329,-83
313,-95
281,-123
281,-124
242,-141
218,-159
182,-166
170,-171
169,-172
145,-171
124,-167
108,-167
82,-164
49,-162
31,-152
30,-152
17,-139
18,-120
26,-92
26,-91
39,-76
61,-72
72,-72
85,-83
86,-98
86,-99
76,-118
